time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Plot
1651834320,32965,32965,32939,32940,32965.346153846156,32965.24615384608,32960,32961.44999999994,239,153,-1.5512941079823983,-0.31566419683076674,1.2356299111516316,-0.31566419683076674,1.2356299111516316,-1.5512941079823983
1651834380,32940,32951,32939,32945,32964.730769230766,32965.376923076845,32959.5,32961.049999999945,169,151.9,-2.186095963991134,-1.496990043837286,0.689105920153848,-1.496990043837286,0.689105920153848,-2.186095963991134
1651834440,32946,32946,32933,32941,32963.53846153846,32965.09230769223,32957.5,32960.183333333276,150,151.55,-2.7309318088012775,-2.724558840847749,0.006372967953528597,-2.724558840847749,0.006372967953528597,-2.7309318088012775
1651834500,32940,32940,32929,32933,32961.96153846154,32964.338461538384,32954.416666666664,32958.63333333328,149,150.2,-3.43986381471066,-4.293456800434797,-0.8535929857241366,-4.293456800434797,-0.8535929857241366,-3.43986381471066
1651834560,32934,32934,32922,32924,32959.61538461538,32963.03846153839,32951.5,32956.58333333327,140,145.4,-4.27046224648968,-6.191670793836238,-1.921208547346557,-6.191670793836238,-1.921208547346557,-4.27046224648968
1651834620,32924,32928,32918,32924,32957.03846153846,32961.376923076845,32948.916666666664,32954.3666666666,119,143.3,-4.549685273000667,-7.608315138597391,-3.058629865596724,-7.608315138597391,-3.058629865596724,-4.549685273000667
1651834680,32923,32929,32913,32926,32954.692307692305,32959.36923076915,32946.666666666664,32951.79999999994,173,143.4,-4.3306745642806765,-8.47197307094757,-4.141298506666893,-8.47197307094757,-4.141298506666893,-4.3306745642806765
1651834740,32927,32949,32923,32946,32953.96153846154,32957.45384615377,32945.5,32949.39999999994,170,144.9,-2.6522730739004086,-7.4566398490424035,-4.804366775141995,-7.4566398490424035,-4.804366775141995,-2.6522730739004086
1651834800,32946,32947,32912,32915,32952.07692307692,32955.47692307685,32941.666666666664,32946.84999999993,261,150.95,-3.3957940820944303,-9.049109377760033,-5.653315295665602,-9.049109377760033,-5.653315295665602,-3.3957940820944303
1651834860,32914,32915,32903,32907,32950.03846153846,32953.561538461465,32936.583333333336,32943.8666666666,233,155.3,-4.142806622679749,-10.831823574015289,-6.68901695133554,-10.831823574015289,-6.68901695133554,-4.142806622679749
1651834920,32908,32926,32905,32918,32948.57692307692,32951.86923076915,32931.916666666664,32940.4666666666,253,161.25,-3.6308700495398103,-11.227604513260303,-7.596734463720493,-11.227604513260303,-7.596734463720493,-3.6308700495398103
1651834980,32919,32931,32915,32922,32946.96153846154,32950.323076923,32928.416666666664,32936.81666666661,151,162.05,-2.795133282340716,-11.090651066646387,-8.295517784305671,-11.090651066646387,-8.295517784305671,-2.795133282340716
1651835040,32921,32921,32904,32906,32944.5,32948.43076923069,32925.583333333336,32932.83333333327,151,162.6,-3.0702381310964952,-12.13331544817629,-9.063077317079795,-12.13331544817629,-9.063077317079795,-3.0702381310964952
1651835100,32906,32908,32896,32905,32942.03846153846,32946.423076923,32922.25,32928.94999999994,187,165.15,-3.0629128823739684,-12.891718420047255,-9.828805537673286,-12.891718420047255,-9.828805537673286,-3.0629128823739684
1651835160,32905,32916,32903,32909,32940.03846153846,32944.423076923,32919.583333333336,32925.549999999945,146,165.55,-2.5528806046663384,-13.01990629350621,-10.467025688839872,-13.01990629350621,-10.467025688839872,-2.5528806046663384
1651835220,32910,32914,32896,32911,32938.5,32942.40769230762,32917.75,32922.7166666666,151,166.75,-1.8763148313755416,-12.812419228059298,-10.936104396683756,-12.812419228059298,-10.936104396683756,-1.8763148313755416
1651835280,32911,32911,32887,32893,32935.730769230766,32940.16153846146,32915.166666666664,32920.06666666661,173,168.05,-2.402912560461825,-13.939745097261039,-11.536832536799213,-13.939745097261039,-11.536832536799213,-2.402912560461825
1651835340,32894,32896,32880,32889,32932.61538461538,32937.784615384546,32912.25,32917.399999999936,154,169.85,-2.7571007233380644,-14.983208440971794,-12.22610771763373,-14.983208440971794,-12.22610771763373,-2.7571007233380644
1651835400,32888,32891,32881,32885,32929.769230769234,32935.33076923069,32908.833333333336,32914.7166666666,173,174.8,-2.9783747912179557,-15.949076206656173,-12.970701415438217,-15.949076206656173,-12.970701415438217,-2.9783747912179557
1651835460,32884,32890,32876,32885,32927.07692307692,32932.73846153838,32903.75,32911.54999999994,216,177.9,-2.8426823531707193,-16.524054356901615,-13.681372003730896,-16.524054356901615,-13.681372003730896,-2.8426823531707193
1651835520,32884,32885,32867,32872,32923.96153846154,32929.83076923069,32900.166666666664,32908.03333333327,237,177.8,-3.3135140281584228,-17.823264538928925,-14.509750510770502,-17.823264538928925,-14.509750510770502,-3.3135140281584228
1651835580,32870,32873,32859,32863,32920.230769230766,32926.73076923069,32896.5,32904.29999999993,163,177.5,-3.876998668454382,-19.35599884633848,-15.479000177884098,-19.35599884633848,-15.479000177884098,-3.876998668454382
1651835640,32863,32868,32854,32860,32916.346153846156,32923.47692307685,32891.666666666664,32900.18333333327,153,177.65,-4.077275149359529,-20.57559411458351,-16.49831896522398,-20.57559411458351,-16.49831896522398,-4.077275149359529
1651835700,32861,32865,32853,32855,32912,32919.923076923,32886.083333333336,32895.63333333326,126,176.5,-4.157743361210255,-21.695498166736797,-17.537754805526543,-21.695498166736797,-17.537754805526543,-4.157743361210255
1651835760,32854,32861,32840,32854,32907.38461538462,32915.984615384536,32881.75,32891.233333333264,237,181.35,-3.8941528010466904,-22.405445806834905,-18.511293005788215,-22.405445806834905,-18.511293005788215,-3.8941528010466904
1651835820,32854,32863,32850,32855,32903.192307692305,32911.83076923069,32877.583333333336,32886.7166666666,186,184.7,-3.2922198312701347,-22.626567794875882,-19.334347963605747,-22.626567794875882,-19.334347963605747,-3.2922198312701347
1651835880,32854,32856,32844,32849,32899.692307692305,32907.723076923,32872.583333333336,32881.93333333326,159,184,-2.9489947266267365,-23.020591371889168,-20.07159664526243,-23.020591371889168,-20.07159664526243,-2.9489947266267365
1651835940,32849,32859,32844,32848,32895.96153846154,32903.64615384608,32867.333333333336,32877.06666666659,151,183.05,-2.4601054523898362,-23.146728460749728,-20.68662300835989,-23.146728460749728,-20.68662300835989,-2.4601054523898362
1651836000,32847,32865,32847,32858,32892.769230769234,32899.79999999993,32864.416666666664,32872.73333333326,182,179.1,-1.1979437022948431,-22.184052636228444,-20.9861089339336,-22.184052636228444,-20.9861089339336,-1.1979437022948431
1651836060,32859,32879,32858,32872,32890.42307692308,32896.40769230762,32863,32868.98333333326,195,177.2,0.7407266616077592,-20.0602006069239,-20.80092726853166,-20.0602006069239,-20.80092726853166,0.7407266616077592
1651836120,32873,32878,32855,32858,32887.88461538462,32893.34615384608,32860.75,32865.61666666659,231,176.1,1.2132083617335816,-19.284416816364683,-20.497625178098264,-19.284416816364683,-20.497625178098264,1.2132083617335816
1651836180,32858,32867,32852,32862,32885.5,32890.50769230763,32858.833333333336,32862.86666666659,156,176.35,1.8878959421949872,-18.13775525035453,-20.025651192549518,-18.13775525035453,-20.025651192549518,1.8878959421949872
1651836240,32862,32876,32861,32872,32883.42307692308,32887.99999999993,32858.833333333336,32861.166666666584,187,178.15,3.032557099407505,-16.234954818290134,-19.26751191769764,-16.234954818290134,-19.26751191769764,3.032557099407505
1651836300,32870,32872,32852,32854,32879.88461538462,32885.423076923005,32858.083333333336,32859.89999999992,211,179.35,2.617977162355391,-15.995040464753401,-18.613017627108793,-15.995040464753401,-18.613017627108793,2.617977162355391
1651836360,32854,32863,32846,32856,32877.61538461538,32882.86153846147,32857.75,32858.84999999992,203,182.2,2.518214457137052,-15.465249555687478,-17.98346401282453,-15.465249555687478,-17.98346401282453,2.518214457137052
1651836420,32857,32865,32852,32863,32875.92307692308,32880.46923076916,32858.416666666664,32858.38333333325,163,182.8,2.934351618622763,-14.315524489546078,-17.24987610816884,-14.315524489546078,-17.24987610816884,2.934351618622763
1651836480,32863,32868,32856,32864,32873.846153846156,32878.138461538394,32859.25,32858.46666666658,140,181.15,3.262436260477301,-13.171830782572215,-16.434267043049516,-13.171830782572215,-16.434267043049516,3.262436260477301
1651836540,32864,32869,32859,32860,32871.46153846154,32875.74615384608,32859.666666666664,32858.633333333244,143,180.6,3.1916084785719026,-12.444756444834638,-15.636364923406541,-12.444756444834638,-15.636364923406541,3.1916084785719026
1651836600,32859,32863,32834,32839,32868.88461538462,32873.54615384608,32858.833333333336,32858.78333333325,313,187.6,1.782288420824825,-13.40850439737551,-15.190792818200334,-13.40850439737551,-15.190792818200334,1.782288420824825
1651836660,32838,32847,32828,32841,32866.42307692308,32871.30769230762,32858.25,32858.88333333325,424,198,1.0716502936756438,-13.851229951105779,-14.922880244781423,-13.851229951105779,-14.922880244781423,1.0716502936756438
1651836720,32840,32860,32837,32857,32864.42307692308,32869.00769230763,32858.166666666664,32858.83333333325,248,198.55,1.7271900754581555,-12.763892650458729,-14.491082725916884,-12.763892650458729,-14.491082725916884,1.7271900754581555
1651836780,32858,32861,32851,32856,32862.307692307695,32866.69999999993,32856.833333333336,32858.34999999992,133,197.05,2.1158223242568415,-11.846304820595833,-13.962127144852674,-11.846304820595833,-13.962127144852674,2.1158223242568415
